index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
262,0.0,2480.0,2560.0,8480.0,0.0,0.0,2320.0
263,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
264,0.0,2560.0,2480.0,8400.0,0.0,80.0,2320.0
265,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
266,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
267,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
268,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
269,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
270,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
271,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
272,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
273,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
274,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
275,80.0,2480.0,2480.0,8480.0,80.0,80.0,2320.0
276,0.0,2480.0,2480.0,8480.0,0.0,0.0,2240.0
277,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
278,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
279,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
280,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
281,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
282,0.0,2560.0,2560.0,8480.0,0.0,0.0,2320.0
283,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
284,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
285,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
286,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
287,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
288,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
289,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
290,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
291,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
292,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
293,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
294,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
295,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
296,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
297,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
298,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
299,0.0,2560.0,2480.0,8480.0,0.0,0.0,2240.0
300,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
301,0.0,2480.0,2480.0,8400.0,0.0,80.0,2320.0
302,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
303,80.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
304,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
305,0.0,2560.0,2560.0,8480.0,-80.0,80.0,2320.0
306,0.0,2560.0,2560.0,8480.0,-80.0,80.0,2320.0
307,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
308,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
309,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
310,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
311,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
312,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
313,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
314,0.0,2560.0,2560.0,8400.0,0.0,80.0,2320.0
315,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
